id_EXIST,lang,tweet,number_annotators,annotators,gender_annotators,age_annotators,ethnicities_annotators,study_levels_annotators,countries_annotators,labels_task1_1,labels_task1_2,labels_task1_3,split,cleaned_text,translated_text
101016,es,"En el marco de la Semana de la Eliminación de la Violencia contra Niñas y Mujeres, te compartiremos 16 maneras maneras en las que puedes contribuir a erradicar la cultura de la violación. https://t.co/DBnbqcFbAy",6,"['Annotator_115', 'Annotator_116', 'Annotator_117', 'Annotator_118', 'Annotator_119', 'Annotator_120']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'White or Caucasian', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian']","['Bachelor’s degree', 'Bachelor’s degree', 'High school degree or equivalent', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree']","['Poland', 'Mexico', 'Chile', 'Italy', 'United Kingdom', 'Spain']","['YES', 'NO', 'YES', 'NO', 'NO', 'YES']","['JUDGEMENTAL', '-', 'JUDGEMENTAL', '-', '-', 'REPORTED']","[['SEXUAL-VIOLENCE'], ['-'], ['IDEOLOGICAL-INEQUALITY', 'MISOGYNY-NON-SEXUAL-VIOLENCE'], ['-'], ['-'], ['IDEOLOGICAL-INEQUALITY', 'STEREOTYPING-DOMINANCE', 'OBJECTIFICATION', 'SEXUAL-VIOLENCE']]",TRAIN_ES,"en el marco de la semana de la eliminación de la violencia contra niñas y mujeres, te compartiremos 16 maneras maneras en las que puedes contribuir a erradicar la cultura de la violación.","In the framework of the week of eliminating violence against girls and women, we will share 16 ways in which you can help eradicate the culture of rape."
101017,es,"@ibobx @mariavlena @svgiachero cual es su vida ? tiene pareja, hijos, su vida.. mucho bla bla bla !!!la violación en cualquiera de sus formas es un delito aberrante y debe ser penado con prisión ! de ahi, a decir la cultura de la violación o que ser mujer es igual a""victima"" es un reverendo disparate !!!!",6,"['Annotator_337', 'Annotator_338', 'Annotator_339', 'Annotator_340', 'Annotator_341', 'Annotator_342']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['High school degree or equivalent', 'Bachelor’s degree', 'Master’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree']","['Mexico', 'Mexico', 'Mexico', 'Venezuela', 'Spain', 'Mexico']","['NO', 'NO', 'YES', 'YES', 'YES', 'YES']","['-', '-', 'DIRECT', 'JUDGEMENTAL', 'DIRECT', 'REPORTED']","[['-'], ['-'], ['IDEOLOGICAL-INEQUALITY'], ['SEXUAL-VIOLENCE'], ['IDEOLOGICAL-INEQUALITY'], ['SEXUAL-VIOLENCE']]",TRAIN_ES,"cual es su vida ? tiene pareja, hijos, su vida.. mucho bla bla bla !!!la violación en cualquiera de sus formas es un delito aberrante y debe ser penado con prisión ! de ahi, a decir la cultura de la violación o que ser mujer es igual avictima es un reverendo disparate !!!!","What is your life? you have partner, children, your life.. much bla bla bla!!!rape in any of its forms is an aberrant crime and must be punished with prison! there, to say the culture of rape or that being a woman is equal avictim is a reverend nonsense!!!!"
101018,es,Si no fuera por esa misoginia que se os escapa tanto en la aberración de #CachitosCarra (imágnes) como en el pequeño momento de apología de la cultura de la violación con las mujeres objeto del pop ochentero. A veces parece que es Torrente quien hace los guiones. https://t.co/bPKwoRuVWh https://t.co/pO2PzOCOtd,6,"['Annotator_271', 'Annotator_272', 'Annotator_273', 'Annotator_274', 'Annotator_275', 'Annotator_276']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'Hispano or Latino']","['High school degree or equivalent', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree']","['Mexico', 'Mexico', 'Puerto Rico', 'El Salvador', 'Portugal', 'Mexico']","['YES', 'YES', 'YES', 'YES', 'YES', 'YES']","['REPORTED', 'DIRECT', 'DIRECT', 'REPORTED', 'REPORTED', 'JUDGEMENTAL']","[['STEREOTYPING-DOMINANCE'], ['IDEOLOGICAL-INEQUALITY', 'STEREOTYPING-DOMINANCE'], ['MISOGYNY-NON-SEXUAL-VIOLENCE'], ['MISOGYNY-NON-SEXUAL-VIOLENCE'], ['IDEOLOGICAL-INEQUALITY', 'STEREOTYPING-DOMINANCE', 'OBJECTIFICATION', 'MISOGYNY-NON-SEXUAL-VIOLENCE'], ['OBJECTIFICATION']]",TRAIN_ES,si no fuera por esa misoginia que se os escapa tanto en la aberración de cachitoscarra imágnes como en el pequeño momento de apología de la cultura de la violación con las mujeres objeto del pop ochentero. a veces parece que es torrente quien hace los guiones.,If it wasn't for that misogyny that escapes you as much in the aberration of imagnes kachitoscarra as in the small moment of apology of the culture of rape with the women object of the 80th pop. sometimes it seems that it is torrent who makes the scripts.
101019,es,"Las denuncias por sumisión química suben un 36% en Madrid. Nos están echando drogas en las copas, drogan a nuestras hijas, sobrinas y a nuestras amigas.Acabaremos con la cultura de la violación trabajando por el empoderamiento, la seguridad y la libertad de las mujeres. 👇 https://t.co/jXqwxZUaiV",6,"['Annotator_43', 'Annotator_44', 'Annotator_45', 'Annotator_46', 'Annotator_47', 'Annotator_48']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian']","['High school degree or equivalent', 'Bachelor’s degree', 'High school degree or equivalent', 'High school degree or equivalent', 'Bachelor’s degree', 'Bachelor’s degree']","['Mexico', 'Spain', 'Portugal', 'United Kingdom', 'Spain', 'Portugal']","['YES', 'YES', 'YES', 'NO', 'YES', 'YES']","['REPORTED', 'JUDGEMENTAL', 'REPORTED', '-', 'JUDGEMENTAL', 'REPORTED']","[['SEXUAL-VIOLENCE'], ['SEXUAL-VIOLENCE'], ['IDEOLOGICAL-INEQUALITY', 'STEREOTYPING-DOMINANCE', 'OBJECTIFICATION', 'SEXUAL-VIOLENCE'], ['-'], ['SEXUAL-VIOLENCE'], ['SEXUAL-VIOLENCE', 'MISOGYNY-NON-SEXUAL-VIOLENCE']]",TRAIN_ES,"las denuncias por sumisión química suben un 36 en madrid. nos están echando drogas en las copas, drogan a nuestras hijas, sobrinas y a nuestras amigas.acabaremos con la cultura de la violación trabajando por el empoderamiento, la seguridad y la libertad de las mujeres.","We're getting drugs in our cups, drugging our daughters, nieces, and our friends.We'll end the culture of rape by working for women's empowerment, security, and freedom."
101020,es,La cultura de la violación…Lo que hay que hacer es mantener encerrados a los violadores y cuidarse un poco más las mujeres. https://t.co/WHuwVatF3Y,6,"['Annotator_193', 'Annotator_194', 'Annotator_195', 'Annotator_196', 'Annotator_197', 'Annotator_198']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'Hispano or Latino', 'White or Caucasian', 'Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino']","['Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'Master’s degree', 'Master’s degree', 'Master’s degree']","['Portugal', 'Mexico', 'Portugal', 'Peru', 'Colombia', 'Mexico']","['YES', 'YES', 'YES', 'YES', 'YES', 'NO']","['DIRECT', 'JUDGEMENTAL', 'JUDGEMENTAL', 'JUDGEMENTAL', 'REPORTED', '-']","[['STEREOTYPING-DOMINANCE'], ['OBJECTIFICATION'], ['OBJECTIFICATION'], ['STEREOTYPING-DOMINANCE', 'SEXUAL-VIOLENCE'], ['SEXUAL-VIOLENCE'], ['-']]",TRAIN_ES,la cultura de la violaciónlo que hay que hacer es mantener encerrados a los violadores y cuidarse un poco más las mujeres.,The culture of rape is to keep rapists locked up and take a little more care of women.
101021,es,"a todo E.U.                           🟠 NO requiere tener documentos legales en E.U.                                                            🟡 NO retenemos documentos, solo requerimos fotografías.                                               ⚪ Cuotas fijas desde el inicio",6,"['Annotator_349', 'Annotator_350', 'Annotator_351', 'Annotator_352', 'Annotator_353', 'Annotator_354']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian']","['High school degree or equivalent', 'Bachelor’s degree', 'Bachelor’s degree', 'High school degree or equivalent', 'Master’s degree', 'High school degree or equivalent']","['Mexico', 'Mexico', 'Netherlands', 'Spain', 'Poland', 'Spain']","['NO', 'NO', 'NO', 'NO', 'YES', 'NO']","['-', '-', '-', '-', 'REPORTED', '-']","[['-'], ['-'], ['-'], ['-'], ['STEREOTYPING-DOMINANCE', 'OBJECTIFICATION'], ['-']]",TRAIN_ES,"a todo e.u. no requiere tener documentos legales en e.u. no retenemos documentos, solo requerimos fotografías. cuotas fijas desde el inicio","all e.u. does not require to have legal documents in e.u. we do not retain documents, we only require photographs. fixed fees from the beginning"
101022,es,@09Damocles @Yoopino181 @jogun_712 Compre un celular ensamblado en tierra del fuego. Un dolor de cabeza. A la segunda cuota ya lo había llevado al soporte técnico 2 veces. Y termine comprando otro así que con las dos cuotas juntas que fui pagando podría haberme comprado un súper teléfono. Nunca más.,6,"['Annotator_331', 'Annotator_332', 'Annotator_333', 'Annotator_334', 'Annotator_335', 'Annotator_336']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'White or Caucasian', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['High school degree or equivalent', 'Master’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'High school degree or equivalent']","['Portugal', 'Portugal', 'Mexico', 'Spain', 'Portugal', 'Mexico']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","['-', '-', '-', '-', '-', '-']","[['-'], ['-'], ['-'], ['-'], ['-'], ['-']]",TRAIN_ES,compre un celular ensamblado en tierra del fuego. un dolor de cabeza. a la segunda cuota ya lo había llevado al soporte técnico 2 veces. y termine comprando otro así que con las dos cuotas juntas que fui pagando podría haberme comprado un súper teléfono. nunca más.,I bought a cell phone assembled in fire ground. A headache. The second quota had already taken it to technical support 2 times. And I ended up buying another so with the two installments together that I was paying I could have bought a super phone. Never again.
101023,es,Este y confirmar que efectivamente quedó cancelada y ya no hay más cobros de cuotas de manejo https://t.co/Y2oelJjGIw,6,"['Annotator_361', 'Annotator_362', 'Annotator_363', 'Annotator_364', 'Annotator_365', 'Annotator_366']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'Hispano or Latino', 'Hispano or Latino']","['Bachelor’s degree', 'Bachelor’s degree', 'Doctorate', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree']","['Italy', 'United States', 'United States', 'Spain', 'Peru', 'Mexico']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","['-', '-', '-', '-', '-', '-']","[['-'], ['-'], ['-'], ['-'], ['-'], ['-']]",TRAIN_ES,este y confirmar que efectivamente quedó cancelada y ya no hay más cobros de cuotas de manejo,this one and confirm that effectively it has been cancelled and there are no more charges of handling fees
101024,es,"@CaiusIulianus @NatalioGOD La gente no sabe manejar la plataMi ex (mexicano) gana un jurgo de plata, pero nunca le llega nada xq todo lo paga con tarjeta de credito a cuotas.No piensan que esos intereses comen como un putas, y el banco cada vez le da mas cupo y crea esa ilusión de tener mas dinero",6,"['Annotator_361', 'Annotator_362', 'Annotator_363', 'Annotator_364', 'Annotator_365', 'Annotator_366']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'Hispano or Latino', 'Hispano or Latino']","['Bachelor’s degree', 'Bachelor’s degree', 'Doctorate', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree']","['Italy', 'United States', 'United States', 'Spain', 'Peru', 'Mexico']","['YES', 'NO', 'YES', 'NO', 'YES', 'NO']","['DIRECT', '-', 'DIRECT', '-', 'JUDGEMENTAL', '-']","[['IDEOLOGICAL-INEQUALITY'], ['-'], ['OBJECTIFICATION'], ['-'], ['STEREOTYPING-DOMINANCE'], ['-']]",TRAIN_ES,"la gente no sabe manejar la platami ex mexicano gana un jurgo de plata, pero nunca le llega nada xq todo lo paga con tarjeta de credito a cuotas.no piensan que esos intereses comen como un putas, y el banco cada vez le da mas cupo y crea esa ilusión de tener mas dinero","people don't know how to handle the Mexican ex-platami wins a silver jurgo, but they never get anything xq everything pays with credit card to quotas. they don't think those interests eat like a whore, and the bank gives him more and more quota and creates that illusion of having more money"
101025,es,"@Pehuen32783916 @adriancaneto Comprar un dto con UVÁ? Nooo, gracias. Uds no daban ni polenta en cuotas, chocaron la calesitaVoy con mi platita gracias a los remedios gratuitos, a la nueva fórmula de jubilación, a la certeza de NO AUMENTOS DESMESURADOS  en los servicios, a que no tengo que ayudar a los hijos https://t.co/GP1bbAYRlN",6,"['Annotator_367', 'Annotator_368', 'Annotator_369', 'Annotator_370', 'Annotator_371', 'Annotator_372']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['Bachelor’s degree', 'High school degree or equivalent', 'Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'High school degree or equivalent']","['Mexico', 'Brazil', 'Spain', 'Spain', 'Portugal', 'Chile']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","['-', '-', '-', '-', '-', '-']","[['-'], ['-'], ['-'], ['-'], ['-'], ['-']]",TRAIN_ES,"comprar un dto con uvá? nooo, gracias. uds no daban ni polenta en cuotas, chocaron la calesitavoy con mi platita gracias a los remedios gratuitos, a la nueva fórmula de jubilación, a la certeza de no aumentos desmesurados en los servicios, a que no tengo que ayudar a los hijos","To buy a gift with uvá? nooo, thank you. you did not even give polenta in quotas, you collided the calesitavoy with my plate thanks to the free remedies, to the new retirement formula, to the certainty of not excessive increases in the services, to which I do not have to help the children"
101026,es,"antes habíamos pagado un par de cuotas a Bariloche que tuvimos que suspender. viajamos en enero de 2002, después de los muertos y el corralito. A la salida de una fiesta le bajamos la vidriera a la compañía de viajes (la cosa sana) por no darnos nada a cambio de esas cuotas",6,"['Annotator_157', 'Annotator_158', 'Annotator_159', 'Annotator_160', 'Annotator_161', 'Annotator_162']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['High school degree or equivalent', 'Master’s degree', 'Bachelor’s degree', 'Master’s degree', 'Master’s degree', 'Bachelor’s degree']","['Mexico', 'Portugal', 'Spain', 'Portugal', 'Spain', 'Portugal']","['NO', 'NO', 'NO', 'NO', 'NO', 'YES']","['-', '-', '-', '-', '-', 'UNKNOWN']","[['-'], ['-'], ['-'], ['-'], ['-'], ['UNKNOWN']]",TRAIN_ES,"antes habíamos pagado un par de cuotas a bariloche que tuvimos que suspender. viajamos en enero de 2002, después de los muertos y el corralito. a la salida de una fiesta le bajamos la vidriera a la compañía de viajes la cosa sana por no darnos nada a cambio de esas cuotas","before we had paid a couple of dues to bariloche that we had to suspend.We traveled in January 2002, after the dead and the corralito.At the start of a party we lowered the window to the travel company the healthy thing for not giving us anything in exchange for those dues"
101027,es,Recordamos los valores de cuotas vigentes a partir de octubre:Menores: $400Cadetes: $550Damas y jubilados: $650Caballeros: $760Grupo Familiar: $1100Carnet físico $300 (opcional)También estará disponible la oficina de socios que atenderá de:,6,"['Annotator_157', 'Annotator_158', 'Annotator_159', 'Annotator_160', 'Annotator_161', 'Annotator_162']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['High school degree or equivalent', 'Master’s degree', 'Bachelor’s degree', 'Master’s degree', 'Master’s degree', 'Bachelor’s degree']","['Mexico', 'Portugal', 'Spain', 'Portugal', 'Spain', 'Portugal']","['NO', 'YES', 'NO', 'YES', 'NO', 'YES']","['-', 'REPORTED', '-', 'DIRECT', '-', 'REPORTED']","[['-'], ['IDEOLOGICAL-INEQUALITY'], ['-'], ['STEREOTYPING-DOMINANCE'], ['-'], ['IDEOLOGICAL-INEQUALITY']]",TRAIN_ES,recordamos los valores de cuotas vigentes a partir de octubremenores 400cadetes 550damas y jubilados 650caballeros 760grupo familiar 1100carnet físico 300 opcionaltambién estará disponible la oficina de socios que atenderá de,remember the current quota values from October to October 400cadets 550dams and retirees 650cabaleros 760family group 1100carnet physical 300 optional will also be available the office of partners that will attend
101028,es,"@Flavia_oxaran24 Pa que está la tarjeta, que se funda 😂 Dámelo en 100 cuotas 😂",6,"['Annotator_157', 'Annotator_158', 'Annotator_159', 'Annotator_160', 'Annotator_161', 'Annotator_162']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['High school degree or equivalent', 'Master’s degree', 'Bachelor’s degree', 'Master’s degree', 'Master’s degree', 'Bachelor’s degree']","['Mexico', 'Portugal', 'Spain', 'Portugal', 'Spain', 'Portugal']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","['-', '-', '-', '-', '-', '-']","[['-'], ['-'], ['-'], ['-'], ['-'], ['-']]",TRAIN_ES,"pa que está la tarjeta, que se funda dámelo en 100 cuotas","the card, which is founded give it to me in 100 quotas"
101029,es,"@maribarrientosr @HoneyyLive @RicardoReynaMe3 @yulmiim @carlos_briano @YosStoP @rix No me sorprendería, hasta hace no mucho la mujer no tenía derecho de trabajar, es algo que ha ido cambiando con el tiempo, llegando al punto de que hay lugares donde imponen ""cuotas de genero"" en donde tiene que haber 50/50. Es algo que se va modificando.",6,"['Annotator_157', 'Annotator_158', 'Annotator_159', 'Annotator_160', 'Annotator_161', 'Annotator_162']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['High school degree or equivalent', 'Master’s degree', 'Bachelor’s degree', 'Master’s degree', 'Master’s degree', 'Bachelor’s degree']","['Mexico', 'Portugal', 'Spain', 'Portugal', 'Spain', 'Portugal']","['NO', 'YES', 'NO', 'YES', 'YES', 'NO']","['-', 'REPORTED', '-', 'REPORTED', 'REPORTED', '-']","[['-'], ['IDEOLOGICAL-INEQUALITY', 'OBJECTIFICATION'], ['-'], ['STEREOTYPING-DOMINANCE'], ['IDEOLOGICAL-INEQUALITY'], ['-']]",TRAIN_ES,"no me sorprendería, hasta hace no mucho la mujer no tenía derecho de trabajar, es algo que ha ido cambiando con el tiempo, llegando al punto de que hay lugares donde imponen cuotas de genero en donde tiene que haber 5050. es algo que se va modificando.","I would not be surprised, until not long ago the woman had no right to work, it is something that has changed over time, reaching the point that there are places where they impose quotas of gender where there has to be 5050. is something that is changing."
101030,es,"@EDR_CD Para mi; lo primero eliminar el clientelismo, los empleados públicos deben tener estabilidad sin depender vd cuotas politiqueras y al mismo tiempo reducir el aparato burocrático ineficiente. Puedo seguir, pero esto es la base de la corrupción.",6,"['Annotator_235', 'Annotator_236', 'Annotator_237', 'Annotator_238', 'Annotator_239', 'Annotator_240']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'Hispano or Latino']","['High school degree or equivalent', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree']","['Mexico', 'Mexico', 'Mexico', 'Mexico', 'Spain', 'Mexico']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","['-', '-', '-', '-', '-', '-']","[['-'], ['-'], ['-'], ['-'], ['-'], ['-']]",TRAIN_ES,"para mi lo primero eliminar el clientelismo, los empleados públicos deben tener estabilidad sin depender vd cuotas politiqueras y al mismo tiempo reducir el aparato burocrático ineficiente. puedo seguir, pero esto es la base de la corrupción.","For me the first thing to eliminate clientelism, public employees must have stability without dependent political quotas and at the same time reduce the inefficient bureaucratic apparatus. I can continue, but this is the basis of corruption."
101031,es,Pasajes sin cuotas: el Banco Central se reunió con las cámaras del sector turístico y confirmó que la prohibición se mantendrá - Infobae https://t.co/PnyWOiC7BA,6,"['Annotator_235', 'Annotator_236', 'Annotator_237', 'Annotator_238', 'Annotator_239', 'Annotator_240']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'Hispano or Latino']","['High school degree or equivalent', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree', 'Bachelor’s degree']","['Mexico', 'Mexico', 'Mexico', 'Mexico', 'Spain', 'Mexico']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","['-', '-', '-', '-', '-', '-']","[['-'], ['-'], ['-'], ['-'], ['-'], ['-']]",TRAIN_ES,pasajes sin cuotas el banco central se reunió con las cámaras del sector turístico y confirmó que la prohibición se mantendrá infobae,tickets without quotas the central bank met with the chambers of the tourism sector and confirmed that the ban will be maintained infobae
101032,es,Ah pero se podía hacer en 12 cuotas sin interés claro sí me sobran 20k por mes que no sabía en qué usarlos,6,"['Annotator_373', 'Annotator_374', 'Annotator_375', 'Annotator_376', 'Annotator_377', 'Annotator_378']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'Hispano or Latino', 'White or Caucasian']","['Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'Master’s degree', 'Bachelor’s degree', 'High school degree or equivalent']","['Mexico', 'Mexico', 'Mexico', 'Spain', 'Mexico', 'Spain']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","['-', '-', '-', '-', '-', '-']","[['-'], ['-'], ['-'], ['-'], ['-'], ['-']]",TRAIN_ES,ah pero se podía hacer en 12 cuotas sin interés claro sí me sobran 20k por mes que no sabía en qué usarlos,ah but it could be done in 12 installments without clear interest if I have left 20k per month that I did not know in what to use them
101033,es,"Ahí esta pues FACHENTOS, ahí suben su fotito cuando lo compren, aunque sea saquenlo con visa cuotas, si les alcanza, lo importante es presumir 😜 https://t.co/Z0Yhmxntf4",6,"['Annotator_373', 'Annotator_374', 'Annotator_375', 'Annotator_376', 'Annotator_377', 'Annotator_378']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['Hispano or Latino', 'Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'Hispano or Latino', 'White or Caucasian']","['Bachelor’s degree', 'Bachelor’s degree', 'Master’s degree', 'Master’s degree', 'Bachelor’s degree', 'High school degree or equivalent']","['Mexico', 'Mexico', 'Mexico', 'Spain', 'Mexico', 'Spain']","['YES', 'NO', 'NO', 'NO', 'NO', 'NO']","['JUDGEMENTAL', '-', '-', '-', '-', '-']","[['MISOGYNY-NON-SEXUAL-VIOLENCE'], ['-'], ['-'], ['-'], ['-'], ['-']]",TRAIN_ES,"ahí esta pues fachentos, ahí suben su fotito cuando lo compren, aunque sea saquenlo con visa cuotas, si les alcanza, lo importante es presumir","That's where you're busy, there you go up your little photo when you buy it, even if you take it out with visa quotas, if it's enough for you, the important thing is to brag."
101034,es,"La más grande oferta de bolsos y carteras de firmas de segunda mano, como nuevos, los  encuentras en @maruconsing y puedes pagar en cuotas a través del Paypal o del Layaway. Tlfs: Vzla🇻🇪 04126295590🇺🇸 USA  18137707348. Síguela en Instagram  @Maruconsign https://t.co/MlDSkCYXp1",6,"['Annotator_301', 'Annotator_302', 'Annotator_303', 'Annotator_304', 'Annotator_305', 'Annotator_306']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'Hispano or Latino', 'Hispano or Latino', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian']","['High school degree or equivalent', 'Bachelor’s degree', 'High school degree or equivalent', 'Bachelor’s degree', 'Master’s degree', 'Bachelor’s degree']","['Spain', 'Chile', 'Chile', 'Portugal', 'Italy', 'Portugal']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","['-', '-', '-', '-', '-', '-']","[['-'], ['-'], ['-'], ['-'], ['-'], ['-']]",TRAIN_ES,"la más grande oferta de bolsos y carteras de firmas de segunda mano, como nuevos, los encuentras en y puedes pagar en cuotas a través del paypal o del layaway. tlfs vzla 04126295590 usa 18137707348. síguela en instagram","the largest offer of handbags and portfolios of second hand firms, as new, you find them in and you can pay in instalments through the paypal or the layaway. tlfs vzla 04126295590 uses 18137707348. follow it in instagram"
101035,es,@madridreal_h @isaiasgg @InfoFreestyle2 ¿Cuántas batallas se llevó Sara de forma individual?Busca en Internet que son las cuotas de género.,6,"['Annotator_187', 'Annotator_188', 'Annotator_189', 'Annotator_190', 'Annotator_191', 'Annotator_192']","['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'White or Caucasian', 'Hispano or Latino']","['High school degree or equivalent', 'Master’s degree', 'High school degree or equivalent', 'Bachelor’s degree', 'Bachelor’s degree', 'High school degree or equivalent']","['Spain', 'Portugal', 'Portugal', 'Mexico', 'Spain', 'Mexico']","['NO', 'NO', 'YES', 'NO', 'YES', 'NO']","['-', '-', 'REPORTED', '-', 'DIRECT', '-']","[['-'], ['-'], ['OBJECTIFICATION'], ['-'], ['IDEOLOGICAL-INEQUALITY'], ['-']]",TRAIN_ES,cuántas batallas se llevó sara de forma individual?busca en internet que son las cuotas de género.,How many battles did sara take individually? search online that are gender quotas.
